1_weight_DRAM,2_pred_DRAM,3_pred_glb,4_binary_decoder,5_pred_buffer,6_zero_replace_flag,7_zero_replacing,8_adders,9_masks_AND
62.57,13.10,0.00,0.25,31.08,0.51,1.02,1.53,0.51
62.57,13.10,0.00,0.25,31.08,0.51,1.02,1.53,0.51
62.57,13.10,0.00,0.25,31.08,0.51,1.02,1.53,0.51
31.29,3.28,0.00,0.13,15.48,0.25,0.51,0.76,0.25
62.57,3.32,0.00,0.25,30.92,0.51,1.02,1.53,0.51
62.57,3.32,0.00,0.25,30.92,0.51,1.02,1.53,0.51
62.57,3.32,0.00,0.25,30.92,0.51,1.02,1.53,0.51
23.46,0.83,0.00,0.10,11.59,0.19,0.38,0.57,0.19
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
51.37,1.21,0.00,0.14,17.38,0.29,0.57,0.86,0.29
85.61,1.21,0.00,0.24,28.95,0.48,0.96,1.43,0.48
