PE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,
(0- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(0- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(0- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(0- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(0- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(0- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(0- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(0- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(1- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(1- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(1- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(1- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(1- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(1- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(1- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(1- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(2- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(2- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(2- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(2- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(2- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(2- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(2- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(2- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(3- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(3- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(3- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(3- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(3- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(3- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(3- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(3- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(4- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(4- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(4- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(4- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(4- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(4- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(4- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(4- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(5- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(5- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(5- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(5- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(5- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(5- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(5- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(5- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(6- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(6- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(6- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(6- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(6- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(6- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(6- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(6- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
(7- 0),19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,11,11,11,11,11,11,11,11,
(7- 1),18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,
(7- 2),21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,
(7- 3),13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,
(7- 4),20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,16,16,16,16,16,16,16,16,
(7- 5),28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,19,19,19,19,19,19,19,19,
(7- 6),20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,21,21,21,21,21,21,21,21,31,31,31,31,31,31,31,31,21,21,21,21,21,21,21,21,
(7- 7),21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21,21,13,13,13,13,13,13,13,13,
