,layer,PW1/L1_e,DW_e,PW2_e,PW1/L1_c,DW_c,PW2_c,sparse_PW1/L1_e,sparse_DW_e,sparse_PW2_e,sparse_PW1_c,sparse_DW_c,sparse_PW2_c,pred_decom_e,pred_conv_e,main_e,overhead_e,pred_decom_c,pred_conv_c,main_c
0,conv1,9.89,0,0,12288,0,0,9.89,0,0,12288.0,0,0,0,0,12.76,0,0,0,13824.0
1,PW1,2.96,0,0,1024,0,0,2.96,0,0,1024.0,0,0,0,0,11.76,0,0,0,4096.0
2,DW1,6.86,0,0,6144,0,0,6.86,0,0,6144.0,0,0,0,0,14.07323541,0,0,0,4608.0
3,b1,47.88,66.59,71.64,24576,7680.0,76800,46.6317465117,66.59072308,68.2568302464,6528.0,2944.0,19584.0,209.22,386.57,23.25,110.58,12629.0,14208.0,36864.0
4,b2,71.64,66.59,71.64,76800,7680.0,76800,68.26456160640001,66.59072308,68.2568302464,24576.0,4096.0,18816.0,209.22,386.57,23.25,110.58,12629.0,14208.0,36864.0
5,b3,71.64,66.59,71.64,76800,7680.0,76800,68.26456160640001,66.59072308,68.2568302464,25344.0,2560.0,20352.0,209.22,386.57,23.25,110.58,12629.0,14208.0,36864.0
6,b4,71.64,47.99,71.64,76800,1920.0,76800,68.26456160640001,47.99104618,68.2568302464,23808.0,768.0,21120.0,209.22,340.44,11.9,51.96,12629.0,3552.0,18432.0
7,b5,18.39,36.25,54.51,19200,3840.0,76800,17.383093881599994,36.25105639,49.5509432064,6336.0,1600.0,18912.0,59.96,107.44,19.93,100.63,6314.0,3552.0,36864.0
8,b6,52.83,36.25,54.51,76800,3840.0,76800,47.87094320640001,36.25105639,49.5509432064,18336.0,1600.0,19200.0,59.96,107.44,19.93,100.63,6314.0,3552.0,36864.0
9,b7,52.83,36.25,54.51,76800,3840.0,76800,47.87094320640001,36.25105639,49.5509432064,20736.0,1536.0,20544.0,59.96,107.44,19.93,100.63,6314.0,3552.0,36864.0
10,b8,52.83,36.25,54.51,76800,3840.0,76800,47.87094320640001,36.25105639,49.5509432064,18912.0,1792.0,18528.0,59.96,91.13,7.78,37.31,6314.0,888.0,13824.0
11,b9,52.83,36.25,54.51,76800,3840.0,76800,47.87094320640001,36.25105639,49.5509432064,18240.0,1536.0,19584.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
12,b10,52.83,36.25,54.51,76800,3840.0,76800,47.87094320640001,36.25105639,49.5509432064,20640.0,1600.0,19296.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
13,b11,52.83,36.25,54.51,76800,3840.0,76800,47.87094320640001,36.25105639,49.5509432064,20160.0,1600.0,19296.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
14,b12,52.83,25.53,54.51,76800,960.0,76800,47.87094320640001,25.5329838,49.5509432064,21504.0,544.0,19776.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
15,b13,15.06,21.39,50.04,19200,1920.0,76800,13.369982361599998,21.39276996,43.2237954048,5208.0,1088.0,19272.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
16,b14,52.38,21.39,50.04,76800,1920.0,76800,45.5637954048,21.39276996,43.2237954048,20304.0,960.0,19320.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
17,b15,52.38,21.39,50.04,76800,1920.0,76800,45.5637954048,21.39276996,43.2237954048,20088.0,1088.0,19824.0,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
18,b16,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.86,47.95,17.32,119.36,3456.0,1296.0,34560.0
19,GPW1,27.12,0,0,38400,0,0,27.12,0,0,38400.0,0,0,0,0,8.72,0,0,0,9600.0
20,FC1,1.44,0,0,240,0,0,1.44,0,0,240.0,0,0,0,0,1.91,0,0,0,200.0
