1_pred_decom_e,2_pred_conv_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_conv_c,7_main_c
209.22,386.57,23.25,110.58,12629,14208,36864
209.22,386.57,23.25,110.58,12629,14208,36864
209.22,386.57,23.25,110.58,12629,14208,36864
209.22,340.44,11.90,51.96,12629,3552,18432
59.96,107.44,19.93,100.63,6314,3552,36864
59.96,107.44,19.93,100.63,6314,3552,36864
59.96,107.44,19.93,100.63,6314,3552,36864
59.96,91.13,7.78,37.31,6314,888,13824
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,10.63,72.11,3456,1296,20736
27.86,47.95,17.32,119.36,3456,1296,34560
