"block","1_PW1_e","2_PW2_e","3_DW_e","4_PW1_c","5_PW2_c","6_DW_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","47.88","71.64","66.59","24576","76800","7680","46.6317465117","66.59072308","68.25683024639999","6528","19584","2944","209.22","386.57","23.25","110.58","12629","14208","36864"
"2","71.64","71.64","66.59","76800","76800","7680","68.2645616064","66.59072308","68.25683024639999","24576","18816","4096","209.22","386.57","23.25","110.58","12629","14208","36864"
"3","71.64","71.64","66.59","76800","76800","7680","68.2645616064","66.59072308","68.25683024639999","25344","20352","2560","209.22","386.57","23.25","110.58","12629","14208","36864"
"4","71.64","71.64","47.99","76800","76800","1920","68.2645616064","47.99104618","68.25683024639999","23808","21120","768","209.22","340.44","11.90","51.96","12629","3552","18432"
"5","18.39","54.51","36.25","19200","76800","3840","17.383093881599997","36.25105639","49.55094320640001","6336","18912","1600","59.96","107.44","19.93","100.63","6314","3552","36864"
"6","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","18336","19200","1600","59.96","107.44","19.93","100.63","6314","3552","36864"
"7","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","20736","20544","1536","59.96","107.44","19.93","100.63","6314","3552","36864"
"8","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","18912","18528","1792","59.96","91.13","7.78","37.31","6314","888","13824"
"9","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","18240","19584","1536","27.86","47.95","10.63","72.11","3456","1296","20736"
"10","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","20640","19296","1600","27.86","47.95","10.63","72.11","3456","1296","20736"
"11","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","20160","19296","1600","27.86","47.95","10.63","72.11","3456","1296","20736"
"12","52.83","54.51","25.53","76800","76800","960","47.8709432064","25.532983799999997","49.55094320640001","21504","19776","544","27.86","47.95","10.63","72.11","3456","1296","20736"
"13","15.06","50.04","21.39","19200","76800","1920","13.369982361599998","21.39276996","43.2237954048","5208","19272","1088","27.86","47.95","10.63","72.11","3456","1296","20736"
"14","52.38","50.04","21.39","76800","76800","1920","45.563795404800004","21.39276996","43.2237954048","20304","19320","960","27.86","47.95","10.63","72.11","3456","1296","20736"
"15","52.38","50.04","21.39","76800","76800","1920","45.563795404800004","21.39276996","43.2237954048","20088","19824","1088","27.86","47.95","10.63","72.11","3456","1296","20736"
"16","0","0","0","0","0","0","0","0","0","0","0","0","27.86","47.95","17.32","119.36","3456","1296","34560"
"total","770.8199999999999","872.7599999999999","591.2099999999999","984576","1152000","58560","708.4027008285","591.2319038300002","799.1062528512002","270720","25312","293424","1299.5999999999992","2297.1999999999994","240.95","1347.0299999999997","103420.0","68088.0","433152.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","604660.0","1.0","","5184.779999999998","1.0"
"sparse","589456","0.9748552905765223","","2098.7408575097006","0.4047887967299869"
"dense","2195136","3.630364171600569","","2234.7899999999995","0.4310288961151679"
