"sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C"
"46.6317465117","66.59072308","68.25683024639999","6528","19584","2944"
"68.2645616064","66.59072308","68.25683024639999","24576","18816","4096"
"68.2645616064","66.59072308","68.25683024639999","25344","20352","2560"
"68.2645616064","47.99104618","68.25683024639999","23808","21120","768"
"17.383093881599997","36.25105639","49.55094320640001","6336","18912","1600"
"47.8709432064","36.25105639","49.55094320640001","18336","19200","1600"
"47.8709432064","36.25105639","49.55094320640001","20736","20544","1536"
"47.8709432064","36.25105639","49.55094320640001","18912","18528","1792"
"47.8709432064","36.25105639","49.55094320640001","18240","19584","1536"
"47.8709432064","36.25105639","49.55094320640001","20640","19296","1600"
"47.8709432064","36.25105639","49.55094320640001","20160","19296","1600"
"47.8709432064","25.532983799999997","49.55094320640001","21504","19776","544"
"13.369982361599998","21.39276996","43.2237954048","5208","19272","1088"
"45.563795404800004","21.39276996","43.2237954048","20304","19320","960"
"45.563795404800004","21.39276996","43.2237954048","20088","19824","1088"
