PE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,
(0- 0),33,33,33,33,33,33,33,33,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,23,23,23,23,23,23,23,23,36,36,36,36,36,36,36,36,31,31,31,31,31,31,31,31,24,24,24,24,24,24,24,24,31,31,31,31,31,31,31,31,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,34,34,34,34,34,34,34,34,29,29,29,29,29,29,29,29,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,35,35,35,35,35,35,35,35,32,32,32,32,32,32,32,32,30,30,30,30,30,30,30,30,37,37,37,37,37,37,37,37,
(0- 1),23,23,23,23,23,23,23,23,36,36,36,36,36,36,36,36,29,29,29,29,29,29,29,29,17,17,17,17,17,17,17,17,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,36,36,36,36,36,36,36,36,41,41,41,41,41,41,41,41,34,34,34,34,34,34,34,34,48,48,48,48,48,48,48,48,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,40,40,40,40,40,40,40,40,
(0- 2),49,49,49,49,49,49,49,49,33,33,33,33,33,33,33,33,43,43,43,43,43,43,43,43,29,29,29,29,29,29,29,29,40,40,40,40,40,40,40,40,28,28,28,28,28,28,28,28,34,34,34,34,34,34,34,34,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,40,40,40,40,40,40,40,40,33,33,33,33,33,33,33,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,30,30,30,30,30,30,30,30,27,27,27,27,27,27,27,27,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,
(0- 3),38,38,38,38,38,38,38,38,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,24,24,24,24,24,24,24,24,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,37,37,37,37,37,37,37,37,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,25,25,25,25,25,25,25,25,42,42,42,42,42,42,42,42,36,36,36,36,36,36,36,36,44,44,44,44,44,44,44,44,32,32,32,32,32,32,32,32,45,45,45,45,45,45,45,45,41,41,41,41,41,41,41,41,
(0- 4),37,37,37,37,37,37,37,37,41,41,41,41,41,41,41,41,22,22,22,22,22,22,22,22,31,31,31,31,31,31,31,31,24,24,24,24,24,24,24,24,37,37,37,37,37,37,37,37,17,17,17,17,17,17,17,17,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,38,38,38,38,38,38,38,38,29,29,29,29,29,29,29,29,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,41,41,41,41,41,41,41,41,34,34,34,34,34,34,34,34,37,37,37,37,37,37,37,37,26,26,26,26,26,26,26,26,36,36,36,36,36,36,36,36,
(0- 5),26,26,26,26,26,26,26,26,38,38,38,38,38,38,38,38,28,28,28,28,28,28,28,28,34,34,34,34,34,34,34,34,27,27,27,27,27,27,27,27,37,37,37,37,37,37,37,37,28,28,28,28,28,28,28,28,34,34,34,34,34,34,34,34,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,32,32,32,32,32,32,32,32,22,22,22,22,22,22,22,22,32,32,32,32,32,32,32,32,30,30,30,30,30,30,30,30,42,42,42,42,42,42,42,42,30,30,30,30,30,30,30,30,34,34,34,34,34,34,34,34,
(0- 6),20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,22,22,22,22,22,22,22,22,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,32,32,32,32,32,32,32,32,19,19,19,19,19,19,19,19,40,40,40,40,40,40,40,40,21,21,21,21,21,21,21,21,41,41,41,41,41,41,41,41,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,21,21,21,21,21,21,21,21,30,30,30,30,30,30,30,30,18,18,18,18,18,18,18,18,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,
(0- 7),31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,30,30,30,30,30,30,30,30,21,21,21,21,21,21,21,21,35,35,35,35,35,35,35,35,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,34,34,34,34,34,34,34,34,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,33,33,33,33,33,33,33,33,25,25,25,25,25,25,25,25,39,39,39,39,39,39,39,39,28,28,28,28,28,28,28,28,22,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,
(1- 0),33,33,33,33,33,33,33,33,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,23,23,23,23,23,23,23,23,36,36,36,36,36,36,36,36,31,31,31,31,31,31,31,31,24,24,24,24,24,24,24,24,31,31,31,31,31,31,31,31,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,34,34,34,34,34,34,34,34,29,29,29,29,29,29,29,29,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,35,35,35,35,35,35,35,35,32,32,32,32,32,32,32,32,30,30,30,30,30,30,30,30,37,37,37,37,37,37,37,37,
(1- 1),23,23,23,23,23,23,23,23,36,36,36,36,36,36,36,36,29,29,29,29,29,29,29,29,17,17,17,17,17,17,17,17,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,36,36,36,36,36,36,36,36,41,41,41,41,41,41,41,41,34,34,34,34,34,34,34,34,48,48,48,48,48,48,48,48,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,40,40,40,40,40,40,40,40,
