,layer,pred_decom_e,pred_conv_e,main_e,overhead_e,pred_decom_c,pred_conv_c,main_c
0,conv1,0,0,12.76,0,0,0,13824.0
1,PW1,0,0,11.76,0,0,0,4096.0
2,DW1,0,0,14.07323541,0,0,0,4608.0
3,b1,209.22,386.57,23.25,110.58,12629.0,14208.0,36864.0
4,b2,209.22,386.57,23.25,110.58,12629.0,14208.0,36864.0
5,b3,209.22,386.57,23.25,110.58,12629.0,14208.0,36864.0
6,b4,209.22,340.44,11.9,51.96,12629.0,3552.0,18432.0
7,b5,59.96,107.44,19.93,100.63,6314.0,3552.0,36864.0
8,b6,59.96,107.44,19.93,100.63,6314.0,3552.0,36864.0
9,b7,59.96,107.44,19.93,100.63,6314.0,3552.0,36864.0
10,b8,59.96,91.13,7.78,37.31,6314.0,888.0,13824.0
11,b9,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
12,b10,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
13,b11,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
14,b12,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
15,b13,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
16,b14,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
17,b15,27.86,47.95,10.63,72.11,3456.0,1296.0,20736.0
18,b16,27.86,47.95,17.32,119.36,3456.0,1296.0,34560.0
19,PW1,0,0,17.48,0,0,0,20480.0
20,FC1,0,0,17.24,0,0,0,2000.0
