1_weight_DRAM,2_pred_DRAM,3_pred_glb,4_binary_decoder,5_pred_buffer,6_zero_replace_flag,7_zero_replacing,8_adders,9_masks_AND
88.95,8.39,0.00,0.32,39.29,1.27,2.55,3.82,1.27
133.42,8.39,0.00,0.48,58.58,1.91,3.82,5.73,1.91
133.42,8.39,0.00,0.48,58.58,1.91,3.82,5.73,1.91
177.90,2.10,0.00,0.16,19.47,0.64,1.27,1.91,0.64
59.30,2.10,0.00,0.21,25.89,0.85,1.70,2.55,0.85
59.30,2.10,0.00,0.21,25.89,0.85,1.70,2.55,0.85
59.30,2.10,0.00,0.21,25.89,0.85,1.70,2.55,0.85
74.12,0.52,0.00,0.07,8.08,0.27,0.53,0.80,0.27
23.16,0.52,0.00,0.08,10.09,0.33,0.66,1.00,0.33
23.16,0.52,0.00,0.08,10.09,0.33,0.66,1.00,0.33
23.16,0.52,0.00,0.08,10.09,0.33,0.66,1.00,0.33
23.16,0.52,0.00,0.08,10.09,0.33,0.66,1.00,0.33
23.16,0.52,0.00,0.08,10.09,0.33,0.66,1.00,0.33
46.33,0.52,0.00,0.17,20.14,0.66,1.33,1.99,0.66
