1_weight_DRAM,2_pred_DRAM,3_pred_glb,4_binary_decoder,5_pred_buffer,6_zero_replace_flag,7_zero_replacing,8_adders,9_masks_AND
141.33,9.32,0.00,0.38,47.08,1.53,3.06,4.59,1.53
212.00,9.32,0.00,0.57,70.23,2.29,4.59,6.88,2.29
53.00,2.33,0.00,0.57,69.63,2.29,4.59,6.88,2.29
70.67,2.33,0.00,0.57,69.63,2.29,4.59,6.88,2.29
94.22,2.33,0.00,0.57,69.63,2.29,4.59,6.88,2.29
94.22,2.33,0.00,0.57,69.63,2.29,4.59,6.88,2.29
94.22,2.33,0.00,0.57,69.63,2.29,4.59,6.88,2.29
94.22,2.33,0.00,0.25,31.06,1.02,2.04,3.06,1.02
29.44,0.58,0.00,0.08,9.69,0.32,0.64,0.96,0.32
36.81,0.58,0.00,0.08,9.69,0.32,0.64,0.96,0.32
36.81,0.58,0.00,0.10,12.10,0.40,0.80,1.19,0.40
36.81,0.58,0.00,0.10,12.10,0.40,0.80,1.19,0.40
36.81,0.58,0.00,0.10,12.10,0.40,0.80,1.19,0.40
36.81,0.58,0.00,0.10,12.10,0.40,0.80,1.19,0.40
73.61,0.58,0.00,0.20,24.16,0.80,1.59,2.39,0.80
