1_pred_decom_e,2_pred_conv_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_conv_c,7_main_c
77.80,118.34,33.06,208.82,10240,5760,55296
87.90,118.34,48.02,308.17,15360,5760,82944
87.90,290.41,48.02,141.59,15360,4000,82944
30.02,183.73,48.02,159.25,3840,4000,82944
33.92,183.73,48.02,182.81,5120,4000,82944
33.92,70.08,48.02,182.81,5120,1440,82944
33.92,70.08,48.02,182.81,5120,1440,82944
33.92,70.08,20.28,135.00,5120,1440,36864
33.92,10.01,7.13,42.03,5120,360,11520
12.05,4.11,7.13,49.39,1600,360,11520
12.05,4.11,7.74,52.38,1600,360,14400
12.05,6.42,7.74,52.38,1600,1000,14400
12.05,6.42,7.74,52.38,1600,1000,14400
12.05,6.42,7.74,52.38,1600,1000,14400
12.05,4.11,14.48,104.12,1600,360,28800
