"block","1_PW1_e","2_DW_e","3_PW2_e","4_PW1_c","5_DW_c","6_PW2_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","25.59","41.57292339999999","34.03","24576","12288","32768","24.5128535296","41.57292339999999","32.041479529700005","6656","9216","8576","77.80","118.34","33.06","208.82","10240","5760","55296"
"2","48.16","62.34218995999999","43.58","49152","18432","49152","44.53970655049999","62.34218995999999","41.122740013000005","15616","8704","12032","87.90","118.34","48.02","308.17","15360","5760","82944"
"3","23.79","21.60372935","8.21","24576","11520","10240","22.575426931200003","21.60372935","7.5840751185999995","6144","6528","3840","87.90","290.41","48.02","141.59","15360","4000","82944"
"4","13.94","19.013507999999998","14.71","19200","19200","19200","12.702574720000001","19.013507999999998","13.470235801600001","4864","8448","4960","30.02","183.73","48.02","159.25","3840","4000","82944"
"5","13.94","19.013507999999998","14.71","19200","19200","19200","12.702574720000001","19.013507999999998","13.470235801600001","5024","7680","5024","33.92","183.73","48.02","182.81","5120","4000","82944"
"6","25.67","27.60935799","45.83","38400","7680","76800","23.190471603200002","27.60935799","40.8709432064","9376","4096","19872","33.92","70.08","48.02","182.81","5120","1440","82944"
"7","92.73","55.211056389999996","94.01","153600","15360","153600","82.69961832960001","55.211056389999996","83.97961832960002","39296","7168","39520","33.92","70.08","48.02","182.81","5120","1440","82944"
"8","92.73","55.211056389999996","94.01","153600","15360","153600","82.69961832960001","55.211056389999996","83.97961832960002","39808","6400","39584","33.92","70.08","20.28","135.00","5120","1440","36864"
"9","92.73","55.211056389999996","94.01","153600","15360","153600","82.69961832960001","55.211056389999996","83.97961832960002","40288","8704","39456","33.92","10.01","7.13","42.03","5120","360","11520"
"10","92.73","55.211056389999996","117.45","153600","15360","215040","82.69961832960001","55.211056389999996","103.497280128","39808","7424","54976","12.05","4.11","7.13","49.39","1600","360","11520"
"11","163.53","231.16716166999998","180.94","301056","21504","301056","143.99619217920002","231.16716166999998","161.4061921792","73344","9344","75360","12.05","4.11","7.74","52.38","1600","360","14400"
"12","163.53","300.6864255","65.72","301056","26880","107520","143.99619217920002","300.6864255","56.1380197376","74400","9968","27808","12.05","6.42","7.74","52.38","1600","1000","14400"
"13","92.1","363.73132330000004","89.67","153600","38400","153600","78.57985889279999","363.73132330000004","75.98145676799999","37824","14800","39256","12.05","6.42","7.74","52.38","1600","1000","14400"
"14","92.1","363.73132330000004","89.67","153600","38400","153600","78.57985889279999","363.73132330000004","75.98145676799999","38176","14248","39048","12.05","6.42","7.74","52.38","1600","1000","14400"
"15","92.1","92.28762836","177.11","153600","7680","307200","78.57985889279999","92.28762836","149.8451816192","38944","3168","88320","12.05","4.11","14.48","104.12","1600","360","28800"
"total","1125.37","1763.6033043900002","1163.6599999999999","1852416","282624","1906176","994.7540424097","1763.6033043900002","1023.3481516597001","469568","497632","125896","525.5200000000001","1146.3899999999999","401.1600000000001","1906.3200000000006","80000.0","32280.0","699264.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","811544.0","1.0","","3979.3900000000003","1.0"
"sparse","1093096","1.3469337460445767","","3781.7054984594","0.9503229134262788"
"dense","4041216","4.979663456325227","","4052.63330439","1.018405661267179"
