"sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C"
"24.5128535296","41.57292339999999","32.041479529700005","6656","9216","8576"
"44.53970655049999","62.34218995999999","41.122740013000005","15616","8704","12032"
"22.575426931200003","21.60372935","7.5840751185999995","6144","6528","3840"
"12.702574720000001","19.013507999999998","13.470235801600001","4864","8448","4960"
"12.702574720000001","19.013507999999998","13.470235801600001","5024","7680","5024"
"23.190471603200002","27.60935799","40.8709432064","9376","4096","19872"
"82.69961832960001","55.211056389999996","83.97961832960002","39296","7168","39520"
"82.69961832960001","55.211056389999996","83.97961832960002","39808","6400","39584"
"82.69961832960001","55.211056389999996","83.97961832960002","40288","8704","39456"
"82.69961832960001","55.211056389999996","103.497280128","39808","7424","54976"
"143.99619217920002","231.16716166999998","161.4061921792","73344","9344","75360"
"143.99619217920002","300.6864255","56.1380197376","74400","9968","27808"
"78.57985889279999","363.73132330000004","75.98145676799999","37824","14800","39256"
"78.57985889279999","363.73132330000004","75.98145676799999","38176","14248","39048"
"78.57985889279999","92.28762836","149.8451816192","38944","3168","88320"
