PE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,
(0- 0),39,39,39,39,39,39,39,39,34,34,34,34,34,34,34,34,37,37,37,37,37,37,37,37,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,32,32,32,32,32,32,32,32,37,37,37,37,37,37,37,37,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,46,46,46,46,46,46,46,46,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,35,35,35,35,35,35,35,35,31,31,31,31,31,31,31,31,29,29,29,29,29,29,29,29,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,38,38,38,38,38,38,38,38,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,25,25,25,25,25,25,25,25,29,29,29,29,29,29,29,29,
(0- 1),39,39,39,39,39,39,39,39,57,57,57,57,57,57,57,57,41,41,41,41,41,41,41,41,37,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,30,30,30,30,30,30,30,30,38,38,38,38,38,38,38,38,46,46,46,46,46,46,46,46,50,50,50,50,50,50,50,50,36,36,36,36,36,36,36,36,33,33,33,33,33,33,33,33,43,43,43,43,43,43,43,43,41,41,41,41,41,41,41,41,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,49,54,54,54,54,54,54,54,54,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,42,42,42,42,42,42,42,42,54,54,54,54,54,54,54,54,46,46,46,46,46,46,46,46,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,49,49,49,49,49,49,49,49,
(0- 2),49,49,49,49,49,49,49,49,52,52,52,52,52,52,52,52,46,46,46,46,46,46,46,46,31,31,31,31,31,31,31,31,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,39,39,39,39,39,39,39,39,32,32,32,32,32,32,32,32,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,49,49,49,49,49,49,49,49,37,37,37,37,37,37,37,37,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,36,36,36,36,36,36,36,36,47,47,47,47,47,47,47,47,41,41,41,41,41,41,41,41,37,37,37,37,37,37,37,37,50,50,50,50,50,50,50,50,45,45,45,45,45,45,45,45,25,25,25,25,25,25,25,25,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,44,44,44,44,44,44,44,44,52,52,52,52,52,52,52,52,
(0- 3),30,30,30,30,30,30,30,30,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,26,26,26,26,26,26,26,26,39,39,39,39,39,39,39,39,33,33,33,33,33,33,33,33,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,35,35,35,35,35,35,35,35,15,15,15,15,15,15,15,15,23,23,23,23,23,23,23,23,47,47,47,47,47,47,47,47,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,39,39,39,39,39,39,39,39,30,30,30,30,30,30,30,30,38,38,38,38,38,38,38,38,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,42,42,42,42,42,42,42,42,35,35,35,35,35,35,35,35,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,24,24,24,24,24,24,24,24,
(0- 4),23,23,23,23,23,23,23,23,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,25,25,25,25,25,25,25,25,20,20,20,20,20,20,20,20,31,31,31,31,31,31,31,31,37,37,37,37,37,37,37,37,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30,27,27,27,27,27,27,27,27,45,45,45,45,45,45,45,45,42,42,42,42,42,42,42,42,31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,30,30,30,30,30,30,30,30,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,30,30,30,30,30,30,30,30,17,17,17,17,17,17,17,17,27,27,27,27,27,27,27,27,
(1- 0),39,39,39,39,39,39,39,39,34,34,34,34,34,34,34,34,37,37,37,37,37,37,37,37,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,32,32,32,32,32,32,32,32,37,37,37,37,37,37,37,37,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,46,46,46,46,46,46,46,46,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,35,35,35,35,35,35,35,35,31,31,31,31,31,31,31,31,29,29,29,29,29,29,29,29,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,38,38,38,38,38,38,38,38,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,25,25,25,25,25,25,25,25,29,29,29,29,29,29,29,29,
(1- 1),39,39,39,39,39,39,39,39,57,57,57,57,57,57,57,57,41,41,41,41,41,41,41,41,37,37,37,37,37,37,37,37,40,40,40,40,40,40,40,40,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,30,30,30,30,30,30,30,30,38,38,38,38,38,38,38,38,46,46,46,46,46,46,46,46,50,50,50,50,50,50,50,50,36,36,36,36,36,36,36,36,33,33,33,33,33,33,33,33,43,43,43,43,43,43,43,43,41,41,41,41,41,41,41,41,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,49,54,54,54,54,54,54,54,54,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,42,42,42,42,42,42,42,42,54,54,54,54,54,54,54,54,46,46,46,46,46,46,46,46,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,49,49,49,49,49,49,49,49,
(1- 2),49,49,49,49,49,49,49,49,52,52,52,52,52,52,52,52,46,46,46,46,46,46,46,46,31,31,31,31,31,31,31,31,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,39,39,39,39,39,39,39,39,32,32,32,32,32,32,32,32,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,49,49,49,49,49,49,49,49,37,37,37,37,37,37,37,37,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,36,36,36,36,36,36,36,36,47,47,47,47,47,47,47,47,41,41,41,41,41,41,41,41,37,37,37,37,37,37,37,37,50,50,50,50,50,50,50,50,45,45,45,45,45,45,45,45,25,25,25,25,25,25,25,25,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,44,44,44,44,44,44,44,44,52,52,52,52,52,52,52,52,
(1- 3),30,30,30,30,30,30,30,30,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,26,26,26,26,26,26,26,26,39,39,39,39,39,39,39,39,33,33,33,33,33,33,33,33,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,38,35,35,35,35,35,35,35,35,15,15,15,15,15,15,15,15,23,23,23,23,23,23,23,23,47,47,47,47,47,47,47,47,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,31,39,39,39,39,39,39,39,39,30,30,30,30,30,30,30,30,38,38,38,38,38,38,38,38,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,42,42,42,42,42,42,42,42,35,35,35,35,35,35,35,35,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,24,24,24,24,24,24,24,24,
(1- 4),23,23,23,23,23,23,23,23,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,29,29,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,25,25,25,25,25,25,25,25,20,20,20,20,20,20,20,20,31,31,31,31,31,31,31,31,37,37,37,37,37,37,37,37,22,22,22,22,22,22,22,22,30,30,30,30,30,30,30,30,27,27,27,27,27,27,27,27,45,45,45,45,45,45,45,45,42,42,42,42,42,42,42,42,31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,30,30,30,30,30,30,30,30,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,30,30,30,30,30,30,30,30,17,17,17,17,17,17,17,17,27,27,27,27,27,27,27,27,
