,layer,PW1/L1_e,DW_e,PW2_e,PW1/L1_c,DW_c,PW2_c,sparse_PW1/L1_e,sparse_DW_e,sparse_PW2_e,sparse_PW1_c,sparse_DW_c,sparse_PW2_c,pred_decom_e,pred_conv_e,main_e,overhead_e,pred_decom_c,pred_conv_c,main_c
0,conv1,9.89,0,0,12288,0,0,9.89,0,0,12288.0,0,0,0,0,12.76,0,0,0,13824.0
1,DW1,6.86,0,0,6144,0,0,6.86,0,0,6144.0,0,0,0,0,14.07323541,0,0,0,4608.0
2,PW1,10.33,0,0,8192,0,0,10.33,0,0,8192.0,0,0,0,0,12.93,0,0,0,8192.0
3,b1,25.59,41.57292339999999,34.03,24576,12288,32768.0,24.5128535296,41.5729234,32.0414795297,6656.0,8576.0,9216.0,77.8,118.34,33.06,208.82,10240.0,5760.0,55296.0
4,b2,48.16,62.34218995999999,43.58,49152,18432,49152.0,44.53970655049999,62.34218996,41.122740013,15616.0,12032.0,8704.0,87.9,118.34,48.02,308.17,15360.0,5760.0,82944.0
5,b3,23.79,21.60372935,8.21,24576,11520,10240.0,22.575426931200003,21.60372935,7.5840751186,6144.0,3840.0,6528.0,87.9,290.41,48.02,141.59,15360.0,4000.0,82944.0
6,b4,13.94,19.013507999999998,14.71,19200,19200,19200.0,12.70257472,19.013508,13.4702358016,4864.0,4960.0,8448.0,30.02,183.73,48.02,159.25,3840.0,4000.0,82944.0
7,b5,13.94,19.013507999999998,14.71,19200,19200,19200.0,12.70257472,19.013508,13.4702358016,5024.0,5024.0,7680.0,33.92,183.73,48.02,182.81,5120.0,4000.0,82944.0
8,b6,25.67,27.60935799,45.83,38400,7680,76800.0,23.190471603200002,27.60935799,40.8709432064,9376.0,19872.0,4096.0,33.92,70.08,48.02,182.81,5120.0,1440.0,82944.0
9,b7,92.73,55.211056389999996,94.01,153600,15360,153600.0,82.69961832960001,55.21105639,83.9796183296,39296.0,39520.0,7168.0,33.92,70.08,48.02,182.81,5120.0,1440.0,82944.0
10,b8,92.73,55.211056389999996,94.01,153600,15360,153600.0,82.69961832960001,55.21105639,83.9796183296,39808.0,39584.0,6400.0,33.92,70.08,20.28,135.0,5120.0,1440.0,36864.0
11,b9,92.73,55.211056389999996,94.01,153600,15360,153600.0,82.69961832960001,55.21105639,83.9796183296,40288.0,39456.0,8704.0,33.92,10.01,7.13,42.03,5120.0,360.0,11520.0
12,b10,92.73,55.211056389999996,117.45,153600,15360,215040.0,82.69961832960001,55.21105639,103.497280128,39808.0,54976.0,7424.0,12.05,4.11,7.13,49.39,1600.0,360.0,11520.0
13,b11,163.53,231.16716166999998,180.94,301056,21504,301056.0,143.99619217920005,231.16716167,161.406192179,73344.0,75360.0,9344.0,12.05,4.11,7.74,52.38,1600.0,360.0,14400.0
14,b12,163.53,300.6864255,65.72,301056,26880,107520.0,143.99619217920005,300.6864255,56.1380197376,74400.0,27808.0,9968.0,12.05,6.42,7.74,52.38,1600.0,1000.0,14400.0
15,b13,92.1,363.73132330000004,89.67,153600,38400,153600.0,78.57985889279999,363.7313233,75.981456768,37824.0,39256.0,14800.0,12.05,6.42,7.74,52.38,1600.0,1000.0,14400.0
16,b14,92.1,363.73132330000004,89.67,153600,38400,153600.0,78.57985889279999,363.7313233,75.981456768,38176.0,39048.0,14248.0,12.05,6.42,7.74,52.38,1600.0,1000.0,14400.0
17,b15,92.1,92.28762836,177.11,153600,7680,307200.0,78.57985889279999,92.28762836,149.845181619,38944.0,88320.0,3168.0,12.05,4.11,14.48,104.12,1600.0,360.0,28800.0
18,PW1,219.32,0,0,409600,0,0,219.32,0,0,409600.0,0,0,0,0,88.57,0,0,0,102400.0
19,FC1,1.92,0,0,320,0,0,1.92,0,0,320.0,0,0,0,0,1.91,0,0,0,200.0
