1_PW1_e,2_DW_e,3_PW2_e,4_PW1_c,5_DW_c,6_PW2_c
25.5,41.3340967,33.89,24576,12288,32768
48.01,61.99311398,43.45,49152,18432,49152
48.01,61.99311398,57.86,49152,18432,65536
70.18,82.65213126,72.94,98304,24576,98304
70.18,82.65213126,72.94,98304,24576,98304
70.18,45.75215021999999,30.53,98304,6144,49152
56.31,43.92427215,63.12,98304,12288,98304
56.31,43.92427215,63.12,98304,12288,98304
56.31,43.92427215,63.12,98304,12288,98304
56.31,43.92427215,112.43,98304,12288,131072
125.54,126.519472,178.11,196608,18432,196608
125.54,36.51927224999999,40.07,196608,4608,49152
36.95,18.800207999999998,69.55,49152,4608,81920
91.76,90.80843066000001,89.3,153600,7680,153600
91.76,90.80843066000001,89.3,153600,7680,153600
91.76,90.80843066000001,176.25,153600,7680,307200
