1_pred_decom_e,2_pred_conv_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_conv_c,7_main_c
81.38,228.50,33.06,145.86,11059,6220,55296
91.20,228.50,48.02,214.24,16588,6220,82944
91.20,228.50,48.02,214.24,16588,6220,82944
91.20,142.92,18.14,204.08,16588,1555,27648
28.99,48.09,20.28,93.45,5529,1555,36864
28.99,48.09,20.28,93.45,5529,1555,36864
28.99,48.09,20.28,93.45,5529,1555,36864
28.99,6.98,7.13,84.65,5529,388,11520
10.43,3.00,7.74,36.18,1728,388,14400
10.43,3.00,7.74,36.18,1728,388,14400
10.43,3.00,7.74,36.18,1728,388,14400
10.43,3.00,7.74,36.18,1728,388,14400
10.43,3.00,7.74,36.18,1728,388,14400
10.43,3.00,14.48,71.80,1728,388,28800
