"block","1_PW1_e","2_DW_e","3_PW2_e","4_PW1_c","5_DW_c","6_PW2_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","25.5","41.3340967","33.89","24576","12288","32768","24.4228535296","41.3340967","31.901479529700005","6400","8192","9088","81.38","228.50","33.06","145.86","11059","6220","55296"
"2","48.01","61.99311398","43.45","49152","18432","49152","44.389706550499994","61.99311398","40.99274001300001","14848","8192","13312","91.20","228.50","48.02","214.24","16588","6220","82944"
"3","48.01","61.99311398","57.86","49152","18432","65536","44.389706550499994","61.99311398","53.1452101566","15104","10752","20992","91.20","228.50","48.02","214.24","16588","6220","82944"
"4","70.18","82.65213126","72.94","98304","24576","98304","64.96709321910002","82.65213126","66.5637990689","25088","13312","27648","91.20","142.92","18.14","204.08","16588","1555","27648"
"5","70.18","82.65213126","72.94","98304","24576","98304","64.96709321910002","82.65213126","66.5637990689","23680","12288","25600","28.99","48.09","20.28","93.45","5529","1555","36864"
"6","70.18","45.75215021999999","30.53","98304","6144","49152","64.96709321910002","45.75215021999999","27.347222201800005","26240","3328","12640","28.99","48.09","20.28","93.45","5529","1555","36864"
"7","56.31","43.92427215","63.12","98304","12288","98304","49.97438256640001","43.92427215","54.6074850527","24224","5376","27136","28.99","48.09","20.28","93.45","5529","1555","36864"
"8","56.31","43.92427215","63.12","98304","12288","98304","49.97438256640001","43.92427215","54.6074850527","23776","6144","26624","28.99","6.98","7.13","84.65","5529","388","11520"
"9","56.31","43.92427215","63.12","98304","12288","98304","49.97438256640001","43.92427215","54.6074850527","23488","5632","26880","10.43","3.00","7.74","36.18","1728","388","14400"
"10","56.31","43.92427215","112.43","98304","12288","131072","49.97438256640001","43.92427215","99.2570624768","24256","6144","43776","10.43","3.00","7.74","36.18","1728","388","14400"
"11","125.54","126.519472","178.11","196608","18432","196608","110.88069567670001","126.519472","157.54226351980003","52416","8064","76992","10.43","3.00","7.74","36.18","1728","388","14400"
"12","125.54","36.51927224999999","40.07","196608","4608","49152","110.88069567670001","36.51927224999999","35.1421244383","52672","2240","15608","10.43","3.00","7.74","36.18","1728","388","14400"
"13","36.95","18.800207999999998","69.55","49152","4608","81920","31.921083161600002","18.800207999999998","57.2102839841","14544","2240","27424","10.43","3.00","7.74","36.18","1728","388","14400"
"14","91.76","90.80843066000001","89.3","153600","7680","153600","78.2398588928","90.80843066000001","75.61145676799998","38096","3208","38632","10.43","3.00","14.48","71.80","1728","388","28800"
"15","91.76","90.80843066000001","89.3","153600","7680","153600","78.2398588928","90.80843066000001","75.61145676799998","38264","3312","39176","0","0","0","0","0","0","0"
"16","91.76","90.80843066000001","176.25","153600","7680","307200","78.2398588928","90.80843066000001","148.98518161919998","38240","3424","84648","0","0","0","0","0","0","0"
"total","1120.61","1006.3380702299999","1255.98","1714176","204288","1761280","996.4031277469003","1006.3380702299999","1099.6965347711998","441336","516176","101848","533.5199999999999","997.6700000000001","268.39000000000004","1396.1200000000006","93307.0","27596.0","471744.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","592647.0","1.0","","3195.7000000000007","1.0"
"sparse","1059360","1.7875058846159686","","3102.4377327480997","0.9708163259217383"
"dense","3679744","6.208997936376966","","3382.9280702300002","1.0585874988985198"
