1_PW1_e,2_DW_e,3_PW2_e,4_PW1_c,5_DW_c,6_PW2_c
25.59,41.57292339999999,34.03,24576,12288,32768
48.16,62.34218995999999,43.58,49152,18432,49152
23.79,21.60372935,8.21,24576,11520,10240
13.94,19.013507999999998,14.71,19200,19200,19200
13.94,19.013507999999998,14.71,19200,19200,19200
25.67,27.60935799,45.83,38400,7680,76800
92.73,55.211056389999996,94.01,153600,15360,153600
92.73,55.211056389999996,94.01,153600,15360,153600
92.73,55.211056389999996,94.01,153600,15360,153600
92.73,55.211056389999996,117.45,153600,15360,215040
163.53,231.16716166999998,180.94,301056,21504,301056
163.53,300.6864255,65.72,301056,26880,107520
92.1,363.73132330000004,89.67,153600,38400,153600
92.1,363.73132330000004,89.67,153600,38400,153600
92.1,92.28762836,177.11,153600,7680,307200
