Block,R,S,C,M,PEs,iter,MACs/iter,Dense MACs,Sparse MACs,Dense MAC Cycles,Best Sparse MAC Cycles,Sparse MAC Cycles
1,1,1,16,96,64,256,96,1572864,314368,24576,4912,7936
1,3,3,96,1,72,1024,12,884736,265216,12288,3683,8192
1,1,1,96,24,72,512,64,2359296,472064,32768,6556,9728
2,1,1,24,144,72,1024,48,3538944,707584,49152,9827,15360
2,3,3,144,1,72,512,36,1327104,398336,18432,5532,9216
2,1,1,144,24,72,256,192,3538944,707584,49152,9827,15872
3,1,1,24,72,72,128,192,1769472,354304,24576,4920,6528
3,5,5,72,1,40,128,90,460800,138240,11520,3456,5248
3,1,1,72,40,72,256,40,737280,147456,10240,2048,4096
4,1,1,40,120,64,160,120,1228800,245760,19200,3840,5632
4,5,5,120,1,40,256,75,768000,230400,19200,5760,8448
4,1,1,120,40,64,160,120,1228800,245760,19200,3840,5120
5,1,1,40,120,64,160,120,1228800,245760,19200,3840,5088
5,5,5,120,1,40,256,75,768000,230400,19200,5760,8704
5,1,1,120,40,64,160,120,1228800,245760,19200,3840,5696
6,1,1,40,240,64,192,200,2457600,491520,38400,7680,10336
6,3,3,240,1,72,128,60,552960,165888,7680,2304,4736
6,1,1,240,80,64,640,120,4915200,983040,76800,15360,24512
7,1,1,80,480,64,1536,100,9830400,1966336,153600,30723,40960
7,3,3,480,1,72,256,60,1105920,331776,15360,4608,6912
7,1,1,480,80,64,1280,120,9830400,1966336,153600,30723,40480
8,1,1,80,480,64,1536,100,9830400,1966336,153600,30723,41440
8,3,3,480,1,72,256,60,1105920,331776,15360,4608,6656
8,1,1,480,80,64,1280,120,9830400,1966336,153600,30723,42208
9,1,1,80,480,64,1536,100,9830400,1966336,153600,30723,41760
9,3,3,480,1,72,256,60,1105920,331776,15360,4608,8192
9,1,1,480,80,64,1280,120,9830400,1966336,153600,30723,38912
10,1,1,80,480,64,1536,100,9830400,1966336,153600,30723,40800
10,3,3,480,1,72,256,60,1105920,331776,15360,4608,9984
10,1,1,480,112,64,1280,168,13762560,2752768,215040,43012,54752
11,1,1,112,672,64,1536,196,19267584,3853824,301056,60216,75712
11,3,3,672,1,72,512,42,1548288,464384,21504,6449,9216
11,1,1,672,112,64,1536,196,19267584,3853824,301056,60216,78048
12,1,1,112,672,64,1536,196,19267584,3853824,301056,60216,77184
12,5,5,672,1,40,224,120,1075200,322560,26880,8064,12696
12,1,1,672,160,64,1120,96,6881280,1376384,107520,21506,29664
13,1,1,160,960,64,960,160,9830400,1966208,153600,30722,41136
13,5,5,960,1,40,320,120,1536000,460800,38400,11520,14848
13,1,1,960,160,64,1200,128,9830400,1966208,153600,30722,41280
14,1,1,160,960,64,960,160,9830400,1966208,153600,30722,38896
14,5,5,960,1,40,320,120,1536000,460800,38400,11520,14240
14,1,1,960,160,64,1200,128,9830400,1966208,153600,30722,42864
15,1,1,160,960,64,960,160,9830400,1966208,153600,30722,38632
15,3,3,960,1,72,128,60,552960,165888,7680,2304,3040
15,1,1,960,320,64,3840,80,19660800,3932416,307200,61444,88560
