1_pred_decom_e,2_pred_conv_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_conv_c,7_main_c
89.74,300.65,33.06,193.86,9216,5184,55296
100.20,300.65,48.02,286.25,13824,5184,82944
100.20,300.65,48.02,286.25,13824,5184,82944
100.20,189.52,18.14,94.66,13824,1296,27648
31.40,63.08,20.28,125.45,4608,1296,36864
31.40,63.08,20.28,125.45,4608,1296,36864
31.40,63.08,20.28,125.45,4608,1296,36864
31.40,9.01,7.13,39.06,4608,324,11520
11.07,3.70,7.74,48.68,1440,324,14400
11.07,3.70,7.74,48.68,1440,324,14400
11.07,3.70,7.74,48.68,1440,324,14400
11.07,3.70,7.74,48.68,1440,324,14400
11.07,3.70,7.74,48.68,1440,324,14400
11.07,3.70,14.48,96.80,1440,324,28800
