Block,R,S,C,M,PEs,iter,MACs/iter,Dense MACs,Sparse MACs,Dense MAC Cycles,Best Sparse MAC Cycles,Sparse MAC Cycles
1,1,1,16,96,64,256,96,1572864,314368,24576,4912,6400
1,3,3,96,1,72,1024,12,884736,265216,12288,3683,8192
1,1,1,96,24,72,512,64,2359296,472064,32768,6556,9088
2,1,1,24,144,72,1024,48,3538944,707584,49152,9827,14848
2,3,3,144,1,72,512,36,1327104,398336,18432,5532,8192
2,1,1,144,24,72,256,192,3538944,707584,49152,9827,13312
3,1,1,24,144,72,1024,48,3538944,707584,49152,9827,15104
3,3,3,144,1,72,512,36,1327104,398336,18432,5532,10752
3,1,1,144,32,72,1024,64,4718592,944128,65536,13112,20992
4,1,1,32,192,64,768,128,6291456,1258496,98304,19664,25088
4,3,3,192,1,72,1024,24,1769472,530432,24576,7367,13312
4,1,1,192,32,64,768,128,6291456,1258496,98304,19664,27648
5,1,1,32,192,64,768,128,6291456,1258496,98304,19664,23680
5,3,3,192,1,72,1024,24,1769472,530432,24576,7367,12288
5,1,1,192,32,64,768,128,6291456,1258496,98304,19664,25600
6,1,1,32,192,64,768,128,6291456,1258496,98304,19664,26240
6,3,3,192,1,72,256,24,442368,132608,6144,1841,3328
6,1,1,192,64,64,256,192,3145728,629248,49152,9832,12640
7,1,1,64,384,64,512,192,6291456,1258240,98304,19660,24224
7,3,3,384,1,72,256,48,884736,265472,12288,3687,5376
7,1,1,384,64,64,768,128,6291456,1258240,98304,19660,27136
8,1,1,64,384,64,512,192,6291456,1258240,98304,19660,23776
8,3,3,384,1,72,256,48,884736,265472,12288,3687,6144
8,1,1,384,64,64,768,128,6291456,1258240,98304,19660,26624
9,1,1,64,384,64,512,192,6291456,1258240,98304,19660,23488
9,3,3,384,1,72,256,48,884736,265472,12288,3687,5632
9,1,1,384,64,64,768,128,6291456,1258240,98304,19660,26880
10,1,1,64,384,64,512,192,6291456,1258240,98304,19660,24256
10,3,3,384,1,72,256,48,884736,265472,12288,3687,6144
10,1,1,384,96,72,4096,32,9437184,1887488,131072,26215,43776
11,1,1,96,576,72,2048,96,14155776,2831104,196608,39320,52416
11,3,3,576,1,72,256,72,1327104,398080,18432,5528,8064
11,1,1,576,96,72,12288,16,14155776,2831104,196608,39320,76992
12,1,1,96,576,72,768,64,3538944,707776,49152,9830,13672
12,3,3,576,1,72,64,72,331776,99520,4608,1382,2240
12,1,1,576,96,72,1536,32,3538944,707776,49152,9830,15608
13,1,1,96,576,72,2048,96,14155776,2831104,196608,39320,53760
13,3,3,576,1,72,64,72,331776,99520,4608,1382,2240
13,1,1,576,160,72,2048,40,5898240,1179648,81920,16384,27424
14,1,1,160,960,64,960,160,9830400,1966080,153600,30720,38096
14,3,3,960,1,72,128,60,552960,165888,7680,2304,3208
14,1,1,960,160,64,1200,128,9830400,1966080,153600,30720,38632
15,1,1,160,960,64,960,160,9830400,1966080,153600,30720,38264
15,3,3,960,1,72,128,60,552960,165888,7680,2304,3312
15,1,1,960,160,64,1200,128,9830400,1966080,153600,30720,39176
16,1,1,160,960,64,960,160,9830400,1966080,153600,30720,38240
16,3,3,960,1,72,128,60,552960,165888,7680,2304,3424
16,1,1,960,320,64,3840,80,19660800,3932160,307200,61440,84648
