"sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C"
"24.5128535296","41.57292339999999","32.041479529700005","6400","8192","9088"
"44.53970655049999","62.34218995999999","41.122740013000005","14848","8192","13312"
"44.53970655049999","62.34218995999999","53.355210156599995","15104","10752","20992"
"65.2070932191","83.13145652","66.79379906889999","25088","13312","27648"
"65.2070932191","83.13145652","66.79379906889999","23680","12288","25600"
"65.2070932191","45.985480419999995","27.467222201800002","26240","3328","12640"
"50.1543825664","44.17637703","54.78748505269999","24224","5376","27136"
"50.1543825664","44.17637703","54.78748505269999","23776","6144","26624"
"50.1543825664","44.17637703","54.78748505269999","23488","5632","26880"
"50.1543825664","44.17637703","99.7770624768","24256","6144","43776"
"111.4206956767","128.2032585","158.54226351980003","52416","8064","76992"
"32.0910831616","18.904153","35.40212443830001","13672","2240","15608"
"111.4206956767","36.701515","57.5102839841","53760","2240","27424"
"78.57985889279999","92.28762836","75.98145676799999","38096","3208","38632"
"78.57985889279999","92.28762836","75.98145676799999","38264","3312","39176"
"78.57985889279999","92.28762836","149.8451816192","38240","3424","84648"
