,layer,PW1/L1_e,DW_e,PW2_e,PW1/L1_c,DW_c,PW2_c,sparse_PW1/L1_e,sparse_DW_e,sparse_PW2_e,sparse_PW1_c,sparse_DW_c,sparse_PW2_c,pred_decom_e,pred_conv_e,main_e,overhead_e,pred_decom_c,pred_conv_c,main_c
0,conv1,9.89,0,0,12288,0,0,9.89,0,0,12288.0,0,0,0,0,12.76,0,0,0,13824.0
1,PW1,15.3,0,0,16384,0,0,15.3,0,0,16384.0,0,0,0,0,20.01,0,0,0,16384.0
2,DW1,6.86,0,0,6144,0,0,6.86,0,0,6144.0,0,0,0,0,14.07323541,0,0,0,4608.0
3,PW2,10.33,0,0,8192,0,0,10.33,0,0,8192.0,0,0,0,0,12.93,0,0,0,8192.0
4,b1,25.59,41.57292339999999,34.03,24576,12288,32768.0,24.5128535296,41.5729234,32.0414795297,6400.0,9088.0,8192.0,89.74,300.65,33.06,193.86,9216.0,5184.0,55296.0
5,b2,48.16,62.34218995999999,43.58,49152,18432,49152.0,44.53970655049999,62.34218996,41.122740013,14848.0,13312.0,8192.0,100.2,300.65,48.02,286.25,13824.0,5184.0,82944.0
6,b3,48.16,62.34218995999999,58.07,49152,18432,65536.0,44.53970655049999,62.34218996,53.3552101566,15104.0,20992.0,10752.0,100.2,300.65,48.02,286.25,13824.0,5184.0,82944.0
7,b4,70.42,83.13145652,73.17,98304,24576,98304.0,65.2070932191,83.13145652,66.7937990689,25088.0,27648.0,13312.0,100.2,189.52,18.14,94.66,13824.0,1296.0,27648.0
8,b5,70.42,83.13145652,73.17,98304,24576,98304.0,65.2070932191,83.13145652,66.7937990689,23680.0,25600.0,12288.0,31.4,63.08,20.28,125.45,4608.0,1296.0,36864.0
9,b6,70.42,45.985480419999995,30.65,98304,6144,49152.0,65.2070932191,45.98548042,27.4672222018,26240.0,12640.0,3328.0,31.4,63.08,20.28,125.45,4608.0,1296.0,36864.0
10,b7,56.49,44.17637703,63.3,98304,12288,98304.0,50.1543825664,44.17637703,54.7874850527,24224.0,27136.0,5376.0,31.4,63.08,20.28,125.45,4608.0,1296.0,36864.0
11,b8,56.49,44.17637703,63.3,98304,12288,98304.0,50.1543825664,44.17637703,54.7874850527,23776.0,26624.0,6144.0,31.4,9.01,7.13,39.06,4608.0,324.0,11520.0
12,b9,56.49,44.17637703,63.3,98304,12288,98304.0,50.1543825664,44.17637703,54.7874850527,23488.0,26880.0,5632.0,11.07,3.7,7.74,48.68,1440.0,324.0,14400.0
13,b10,56.49,44.17637703,112.95,98304,12288,131072.0,50.1543825664,44.17637703,99.7770624768,24256.0,43776.0,6144.0,11.07,3.7,7.74,48.68,1440.0,324.0,14400.0
14,b11,126.08,128.2032585,179.11,196608,18432,196608.0,111.4206956767,128.2032585,158.54226352,52416.0,76992.0,8064.0,11.07,3.7,7.74,48.68,1440.0,324.0,14400.0
15,b12,37.12,18.904153,40.33,49152,4608,49152.0,32.0910831616,18.904153,35.4021244383,13672.0,15608.0,2240.0,11.07,3.7,7.74,48.68,1440.0,324.0,14400.0
16,b13,126.08,36.701515,69.85,196608,4608,81920.0,111.4206956767,36.701515,57.5102839841,53760.0,27424.0,2240.0,11.07,3.7,7.74,48.68,1440.0,324.0,14400.0
17,b14,92.1,92.28762836,89.67,153600,7680,153600.0,78.57985889279999,92.28762836,75.981456768,38096.0,38632.0,3208.0,11.07,3.7,14.48,96.8,1440.0,324.0,28800.0
18,b15,92.1,92.28762836,89.67,153600,7680,153600.0,78.57985889279999,92.28762836,75.981456768,38264.0,39176.0,3312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,b16,92.1,92.28762836,177.11,153600,7680,307200.0,78.57985889279999,92.28762836,149.845181619,38240.0,84648.0,3424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,PW1,219.32,0,0,409600,0,0,219.32,0,0,409600.0,0,0,0,0,88.57,0,0,0,102400.0
21,FC1,1.92,0,0,320,0,0,1.92,0,0,320.0,0,0,0,0,1.91,0,0,0,200.0
