1_PW1_e,2_DW_e,3_PW2_e,4_PW1_c,5_DW_c,6_PW2_c
25.59,41.57292339999999,34.03,24576,12288,32768
48.16,62.34218995999999,43.58,49152,18432,49152
48.16,62.34218995999999,58.07,49152,18432,65536
70.42,83.13145652,73.17,98304,24576,98304
70.42,83.13145652,73.17,98304,24576,98304
70.42,45.985480419999995,30.65,98304,6144,49152
56.49,44.17637703,63.3,98304,12288,98304
56.49,44.17637703,63.3,98304,12288,98304
56.49,44.17637703,63.3,98304,12288,98304
56.49,44.17637703,112.95,98304,12288,131072
126.08,128.2032585,179.11,196608,18432,196608
37.12,18.904153,40.33,49152,4608,49152
126.08,36.701515,69.85,196608,4608,81920
92.1,92.28762836,89.67,153600,7680,153600
92.1,92.28762836,89.67,153600,7680,153600
92.1,92.28762836,177.11,153600,7680,307200
