1_weight_DRAM,2_pred_DRAM,3_pred_glb,4_binary_decoder,5_pred_buffer,6_zero_replace_flag,7_zero_replacing,8_adders,9_masks_AND
127.20,8.39,0.00,0.10,12.29,0.38,0.76,1.15,0.38
190.80,8.39,0.00,0.14,18.07,0.57,1.15,1.72,0.57
190.80,8.39,0.00,0.14,18.07,0.57,1.15,1.72,0.57
63.60,2.10,0.00,0.05,5.96,0.19,0.38,0.57,0.19
84.80,2.10,0.00,0.06,7.89,0.25,0.51,0.76,0.25
84.80,2.10,0.00,0.06,7.89,0.25,0.51,0.76,0.25
84.80,2.10,0.00,0.06,7.89,0.25,0.51,0.76,0.25
26.50,0.52,0.00,0.02,2.46,0.08,0.16,0.24,0.08
33.12,0.52,0.00,0.02,3.06,0.10,0.20,0.30,0.10
33.12,0.52,0.00,0.02,3.06,0.10,0.20,0.30,0.10
33.12,0.52,0.00,0.02,3.06,0.10,0.20,0.30,0.10
33.12,0.52,0.00,0.02,3.06,0.10,0.20,0.30,0.10
33.12,0.52,0.00,0.02,3.06,0.10,0.20,0.30,0.10
66.25,0.52,0.00,0.05,6.07,0.20,0.40,0.60,0.20
