,layer,PW1/L1_e,PW2_e,PW3_e,PW1/L1_c,PW2_c,PW3_c,sparse_PW1/L1_e,sparse_PW2_e,sparse_PW3_e,sparse_PW1_c,sparse_DW_c,sparse_PW2_c
0,conv1,9.89,0,0,12288,0,0,9.89,0,0,12288.0,0,0
1,PW1,15.31,0,0,16384,0,0,15.31,0,0,16384.0,0,0
2,DW1,9.26689332,0,0,6144,0,0,9.26689332,0,0,6144.0,0,0
3,PW2,10.33,0,0,8192,0,0,10.33,0,0,8192.0,0,0
4,b1,25.59,41.57292339999999,34.03,24576,12288,32768.0,24.5128535296,41.57292339999999,32.041479529700005,9216.0,12288.0,9216.0
5,b2,48.16,62.34218995999999,43.58,49152,18432,49152.0,44.53970655049999,62.34218995999999,41.122740013000005,16640.0,13824.0,8192.0
6,b3,48.16,62.34218995999999,58.07,49152,18432,65536.0,44.53970655049999,62.34218995999999,53.3552101566,19456.0,29184.0,9216.0
7,b4,70.42,83.13145652,73.17,98304,24576,98304.0,65.2070932191,83.13145652,66.7937990689,27776.0,40960.0,14336.0
8,b5,70.42,83.13145652,73.17,98304,24576,98304.0,65.2070932191,83.13145652,66.7937990689,28288.0,28160.0,12288.0
9,b6,70.42,45.985480419999995,30.65,98304,6144,49152.0,65.2070932191,45.98548042,27.4672222018,25344.0,12672.0,3328.0
10,b7,56.49,44.17637703,63.3,98304,12288,98304.0,50.1543825664,44.17637703,54.78748505269999,25888.0,29952.0,5632.0
11,b8,56.49,44.17637703,63.3,98304,12288,98304.0,50.1543825664,44.17637703,54.78748505269999,23968.0,27904.0,6144.0
12,b9,56.49,44.17637703,63.3,98304,12288,98304.0,50.1543825664,44.17637703,54.78748505269999,24320.0,29376.0,5376.0
13,b10,56.49,44.17637703,112.95,98304,12288,131072.0,50.1543825664,44.17637703,99.7770624768,24864.0,46592.0,6400.0
14,b11,126.08,128.2032585,179.11,196608,18432,196608.0,111.4206956767,128.2032585,158.54226351980003,57920.0,105856.0,7424.0
15,b12,37.12,18.904153,40.33,49152,4608,49152.0,32.0910831616,18.904153,35.40212443830001,14536.0,15552.0,1984.0
16,b13,126.08,36.701515,69.85,196608,4608,81920.0,111.4206956767,36.701515,57.5102839841,55680.0,28288.0,2368.0
17,b14,92.1,92.28762836,89.67,153600,7680,153600.0,78.57985889279999,92.28762836,75.98145676799999,39568.0,43320.0,3176.0
18,b15,92.1,92.28762836,89.67,153600,7680,153600.0,78.57985889279999,92.28762836,75.98145676799999,39416.0,41000.0,3056.0
19,b16,92.1,92.28762836,177.11,153600,7680,307200.0,78.57985889279999,92.28762836,149.8451816192,39176.0,88136.0,2944.0
20,PW1,219.32,0,0,409600,0,0,219.32,0,0,409600.0,0,0
21,FC1,17.31,0,0,3200,0,0,17.31,0,0,3200.0,0,0
