1_weight_DRAM,2_pred_DRAM,3_pred_glb,4_binary_decoder,5_pred_buffer,6_zero_replace_flag,7_zero_replacing,8_adders,9_masks_AND
36.44,14.19,0.00,0.04,4.58,0.07,0.14,0.21,0.07
27.33,14.15,0.00,0.03,3.49,0.05,0.11,0.16,0.05
9.11,3.54,0.00,0.03,3.31,0.05,0.11,0.16,0.05
12.15,3.55,0.00,0.01,1.51,0.02,0.05,0.07,0.02
12.15,3.55,0.00,0.01,1.51,0.02,0.05,0.07,0.02
12.15,3.55,0.00,0.01,1.51,0.02,0.05,0.07,0.02
5.31,0.89,0.00,0.01,1.46,0.02,0.05,0.07,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
9.41,0.90,0.00,0.01,1.12,0.02,0.04,0.05,0.02
18.81,0.90,0.00,0.02,2.23,0.04,0.07,0.11,0.04
