1_pred_decom_e,2_pred_comp_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_comp_c,7_main_c
228.08,124.48,14.23,55.74,13728,10296,20736
222.25,124.53,11.26,45.38,10296,10296,15552
222.25,142.71,11.26,16.36,10296,13728,15552
57.00,37.86,4.57,17.38,3432,3432,6912
57.00,37.86,4.57,17.38,3432,3432,6912
57.00,37.86,4.57,17.38,3432,3432,6912
57.00,40.99,4.57,7.84,3432,6006,6912
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,10.65,3.04,11.57,1519,1519,5292
16.02,16.72,5.76,22.22,1519,3038,10584
