"block","1_PW1_e","2_PW2_e","3_DW_e","4_PW1_c","5_PW2_c","6_DW_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_comp_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_comp_c","7_main_c"
"1","47.88","71.64","66.59","24576","76800","7680","46.6317465117","66.59072308","68.25683024639999","6528","19584","2944","228.08","124.48","14.23","55.74","13728","10296","20736"
"2","71.64","71.64","66.59","76800","76800","7680","68.2645616064","66.59072308","68.25683024639999","24576","18816","4096","222.25","124.53","11.26","45.38","10296","10296","15552"
"3","71.64","71.64","66.59","76800","76800","7680","68.2645616064","66.59072308","68.25683024639999","25344","20352","2560","222.25","142.71","11.26","16.36","10296","13728","15552"
"4","71.64","71.64","47.99","76800","76800","1920","68.2645616064","47.99104618","68.25683024639999","23808","21120","768","57.00","37.86","4.57","17.38","3432","3432","6912"
"5","18.39","54.51","36.25","19200","76800","3840","17.383093881599997","36.25105639","49.55094320640001","6336","18912","1600","57.00","37.86","4.57","17.38","3432","3432","6912"
"6","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","18336","19200","1600","57.00","37.86","4.57","17.38","3432","3432","6912"
"7","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","20736","20544","1536","57.00","40.99","4.57","7.84","3432","6006","6912"
"8","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","18912","18528","1792","16.02","10.65","3.04","11.57","1519","1519","5292"
"9","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","18240","19584","1536","16.02","10.65","3.04","11.57","1519","1519","5292"
"10","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","20640","19296","1600","16.02","10.65","3.04","11.57","1519","1519","5292"
"11","52.83","54.51","36.25","76800","76800","3840","47.8709432064","36.25105639","49.55094320640001","20160","19296","1600","16.02","10.65","3.04","11.57","1519","1519","5292"
"12","52.83","54.51","25.53","76800","76800","960","47.8709432064","25.532983799999997","49.55094320640001","21504","19776","544","16.02","10.65","3.04","11.57","1519","1519","5292"
"13","15.06","50.04","21.39","19200","76800","1920","13.369982361599998","21.39276996","43.2237954048","5208","19272","1088","16.02","10.65","3.04","11.57","1519","1519","5292"
"14","52.38","50.04","21.39","76800","76800","1920","45.563795404800004","21.39276996","43.2237954048","20304","19320","960","16.02","10.65","3.04","11.57","1519","1519","5292"
"15","52.38","50.04","21.39","76800","76800","1920","45.563795404800004","21.39276996","43.2237954048","20088","19824","1088","16.02","16.72","5.76","22.22","1519","3038","10584"
"total","770.8199999999999","872.7599999999999","591.2099999999999","984576","1152000","58560","708.4027008285","591.2319038300002","799.1062528512002","270720","25312","293424","1028.74","637.56","82.07000000000004","280.66999999999996","60200.0","64293.0","127116.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","251609.0","1.0","","2029.04","1.0"
"sparse","589456","2.342746086189286","","2098.7408575097006","1.034351642899943"
"dense","2195136","8.724393801493587","","2234.7899999999995","1.101402633757836"
