Block,R,S,C,M,PEs,iter,MACs/iter,Dense MACs,Sparse MACs,Dense MAC Cycles,Best Sparse MAC Cycles,Sparse MAC Cycles
1,1,1,8,72,72,128,64,589824,117760,8192,1635,2176
1,1,1,80,20,64,128,200,1638400,327680,25600,5120,6528
1,3,3,60,1,72,128,60,552960,165888,7680,2304,2944
2,1,1,20,80,64,256,100,1638400,327680,25600,5120,8192
2,1,1,80,20,64,128,200,1638400,327680,25600,5120,6272
2,3,3,60,1,72,128,60,552960,165888,7680,2304,4096
3,1,1,20,80,64,256,100,1638400,327680,25600,5120,8448
3,1,1,80,20,64,128,200,1638400,327680,25600,5120,6784
3,3,3,60,1,72,128,60,552960,165888,7680,2304,2560
4,1,1,20,80,64,256,100,1638400,327680,25600,5120,7936
4,1,1,80,20,64,128,200,1638400,327680,25600,5120,7040
4,3,3,60,1,72,32,60,138240,41472,1920,576,768
5,1,1,20,80,64,64,100,409600,81920,6400,1280,2112
5,1,1,160,40,64,128,200,1638400,327680,25600,5120,6304
5,3,3,120,1,72,64,60,276480,82944,3840,1152,1600
6,1,1,40,160,64,128,200,1638400,327680,25600,5120,6112
6,1,1,160,40,64,128,200,1638400,327680,25600,5120,6400
6,3,3,120,1,72,64,60,276480,82944,3840,1152,1600
7,1,1,40,160,64,128,200,1638400,327680,25600,5120,6912
7,1,1,160,40,64,128,200,1638400,327680,25600,5120,6848
7,3,3,120,1,72,64,60,276480,82944,3840,1152,1536
8,1,1,40,160,64,128,200,1638400,327680,25600,5120,6304
8,1,1,160,40,64,128,200,1638400,327680,25600,5120,6176
8,3,3,120,1,72,64,60,276480,82944,3840,1152,1792
9,1,1,40,160,64,128,200,1638400,327680,25600,5120,6080
9,1,1,160,40,64,128,200,1638400,327680,25600,5120,6528
9,3,3,120,1,72,64,60,276480,82944,3840,1152,1536
10,1,1,40,160,64,128,200,1638400,327680,25600,5120,6880
10,1,1,160,40,64,128,200,1638400,327680,25600,5120,6432
10,3,3,120,1,72,64,60,276480,82944,3840,1152,1600
11,1,1,40,160,64,128,200,1638400,327680,25600,5120,6720
11,1,1,160,40,64,128,200,1638400,327680,25600,5120,6432
11,3,3,120,1,72,64,60,276480,82944,3840,1152,1600
12,1,1,40,160,64,128,200,1638400,327680,25600,5120,7168
12,1,1,160,40,64,128,200,1638400,327680,25600,5120,6592
12,3,3,120,1,72,32,30,69120,20736,960,288,544
13,1,1,40,160,64,64,100,409600,81920,6400,1280,1736
13,1,1,320,80,64,160,160,1638400,327744,25600,5121,6424
13,3,3,240,1,72,64,30,138240,41472,1920,576,1088
14,1,1,80,320,64,256,100,1638400,327744,25600,5121,6768
14,1,1,320,80,64,160,160,1638400,327744,25600,5121,6440
14,3,3,240,1,72,64,30,138240,41472,1920,576,960
15,1,1,80,320,64,256,100,1638400,327744,25600,5121,6696
15,1,1,320,80,64,160,160,1638400,327744,25600,5121,6608
15,3,3,240,1,72,64,30,138240,41472,1920,576,1088
