PE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,
(0- 0),27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,35,35,35,35,35,35,35,35,24,24,24,24,24,24,24,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,29,29,29,29,29,29,29,29,17,17,17,17,17,17,17,17,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,36,36,36,36,36,36,36,36,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,
(0- 1),26,26,26,26,26,26,26,26,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,26,26,26,26,26,26,26,26,31,31,31,31,31,31,31,31,28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,19,19,19,19,19,19,19,19,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,
(0- 2),29,29,29,29,29,29,29,29,34,34,34,34,34,34,34,34,25,25,25,25,25,25,25,25,49,49,49,49,49,49,49,49,26,26,26,26,26,26,26,26,44,44,44,44,44,44,44,44,27,27,27,27,27,27,27,27,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,33,33,33,33,33,33,33,33,22,22,22,22,22,22,22,22,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,39,39,39,18,18,18,18,18,18,18,18,42,42,42,42,42,42,42,42,34,34,34,34,34,34,34,34,46,46,46,46,46,46,46,46,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,
(0- 3),25,25,25,25,25,25,25,25,43,43,43,43,43,43,43,43,22,22,22,22,22,22,22,22,39,39,39,39,39,39,39,39,34,34,34,34,34,34,34,34,40,40,40,40,40,40,40,40,33,33,33,33,33,33,33,33,43,43,43,43,43,43,43,43,28,28,28,28,28,28,28,28,35,35,35,35,35,35,35,35,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,47,47,47,47,47,47,47,47,30,30,30,30,30,30,30,30,44,44,44,44,44,44,44,44,25,25,25,25,25,25,25,25,34,34,34,34,34,34,34,34,29,29,29,29,29,29,29,29,45,45,45,45,45,45,45,45,
(0- 4),30,30,30,30,30,30,30,30,34,34,34,34,34,34,34,34,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,31,31,31,31,31,31,31,31,38,38,38,38,38,38,38,38,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,34,34,34,34,34,34,34,34,42,42,42,42,42,42,42,42,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,25,25,25,25,25,25,25,25,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,41,41,41,41,41,41,41,41,
(0- 5),37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,36,36,36,36,36,36,36,36,27,27,27,27,27,27,27,27,34,34,34,34,34,34,34,34,39,39,39,39,39,39,39,39,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,
(0- 6),37,37,37,37,37,37,37,37,43,43,43,43,43,43,43,43,35,35,35,35,35,35,35,35,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,44,44,44,44,44,44,44,44,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,35,26,26,26,26,26,26,26,26,45,45,45,45,45,45,45,45,26,26,26,26,26,26,26,26,29,29,29,29,29,29,29,29,26,26,26,26,26,26,26,26,44,44,44,44,44,44,44,44,29,29,29,29,29,29,29,29,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,41,41,41,41,41,41,41,41,29,29,29,29,29,29,29,29,42,42,42,42,42,42,42,42,
(0- 7),35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,25,25,25,25,25,25,25,25,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,39,29,29,29,29,29,29,29,29,40,40,40,40,40,40,40,40,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,38,38,38,38,38,38,38,38,32,32,32,32,32,32,32,32,42,42,42,42,42,42,42,42,38,38,38,38,38,38,38,38,45,45,45,45,45,45,45,45,30,30,30,30,30,30,30,30,37,37,37,37,37,37,37,37,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,
(1- 0),27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,27,27,27,27,27,27,27,27,35,35,35,35,35,35,35,35,24,24,24,24,24,24,24,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,29,29,29,29,29,29,29,29,17,17,17,17,17,17,17,17,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,36,36,36,36,36,36,36,36,30,30,30,30,30,30,30,30,25,25,25,25,25,25,25,25,
(1- 1),26,26,26,26,26,26,26,26,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,26,26,26,26,26,26,26,26,31,31,31,31,31,31,31,31,28,28,28,28,28,28,28,28,25,25,25,25,25,25,25,25,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,19,19,19,19,19,19,19,19,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,29,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,30,30,30,30,30,30,30,30,24,24,24,24,24,24,24,24,
