,layer,PW1/L1_e,DW_e,PW2_e,PW1/L1_c,DW_c,PW2_c,sparse_PW1/L1_e,sparse_DW_e,sparse_PW2_e,sparse_PW1_c,sparse_DW_c,sparse_PW2_c,pred_decom_e,pred_conv_e,main_e,overhead_e,pred_decom_c,pred_conv_c,main_c
0,conv1,7.59,0,0,9216,0,0,7.59,0,0,9216,0,0,0,0,15.41,0,0,0,10368.0
1,head_PW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,3072.0
2,head_DW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73105416,0,0,0,3456.0
3,b1,47.88,66.59,71.64,24576,7680.0,76800,46.6317465117,66.59072308,68.2568302464,6528.0,2944.0,19584.0,228.08,124.48,14.23,55.74,13728.0,10296.0,20736.0
4,b2,71.64,66.59,71.64,76800,7680.0,76800,68.2645616064,66.59072308,68.2568302464,24576.0,4096.0,18816.0,222.25,124.53,11.26,45.38,10296.0,10296.0,15552.0
5,b3,71.64,66.59,71.64,76800,7680.0,76800,68.2645616064,66.59072308,68.2568302464,25344.0,2560.0,20352.0,222.25,142.71,11.26,16.36,10296.0,13728.0,15552.0
6,b4,71.64,47.99,71.64,76800,1920.0,76800,68.2645616064,47.99104618,68.2568302464,23808.0,768.0,21120.0,57.0,37.86,4.57,17.38,3432.0,3432.0,6912.0
7,b5,18.39,36.25,54.51,19200,3840.0,76800,17.3830938816,36.25105639,49.5509432064,6336.0,1600.0,18912.0,57.0,37.86,4.57,17.38,3432.0,3432.0,6912.0
8,b6,52.83,36.25,54.51,76800,3840.0,76800,47.8709432064,36.25105639,49.5509432064,18336.0,1600.0,19200.0,57.0,37.86,4.57,17.38,3432.0,3432.0,6912.0
9,b7,52.83,36.25,54.51,76800,3840.0,76800,47.8709432064,36.25105639,49.5509432064,20736.0,1536.0,20544.0,57.0,40.99,4.57,7.84,3432.0,6006.0,6912.0
10,b8,52.83,36.25,54.51,76800,3840.0,76800,47.8709432064,36.25105639,49.5509432064,18912.0,1792.0,18528.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
11,b9,52.83,36.25,54.51,76800,3840.0,76800,47.8709432064,36.25105639,49.5509432064,18240.0,1536.0,19584.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
12,b10,52.83,36.25,54.51,76800,3840.0,76800,47.8709432064,36.25105639,49.5509432064,20640.0,1600.0,19296.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
13,b11,52.83,36.25,54.51,76800,3840.0,76800,47.8709432064,36.25105639,49.5509432064,20160.0,1600.0,19296.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
14,b12,52.83,25.53,54.51,76800,960.0,76800,47.8709432064,25.5329838,49.5509432064,21504.0,544.0,19776.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
15,b13,15.06,21.39,50.04,19200,1920.0,76800,13.3699823616,21.39276996,43.2237954048,5208.0,1088.0,19272.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
16,b14,52.38,21.39,50.04,76800,1920.0,76800,45.5637954048,21.39276996,43.2237954048,20304.0,960.0,19320.0,16.02,10.65,3.04,11.57,1519.0,1519.0,5292.0
17,b15,52.38,21.39,50.04,76800,1920.0,76800,45.5637954048,21.39276996,43.2237954048,20088.0,1088.0,19824.0,16.02,16.72,5.76,22.22,1519.0,3038.0,10584.0
18,last_PW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.36,0,0,0,26880.0
19,FC1,1.44,0,0,240,0,0,1.44,0,0,240,0,0,0,0,1.43,0,0,0,150.0
